task_id,task_name,task_type,start_time,finish_time,duration,resource_ids,resource_names,cost
p1,Material check,GT,0,1.11,1.11,robot_arm_1,Robot arm,88.33
p2,Cut components,DT,1.11,3.61,2.5,machine_a_1,Machine A,190.00
p3,Automated assembly,CDT,3.61,7.02,3.4,robot_arm_1;technician_1,Robot arm;Machine technician,515.53
p4,Manual adjustment,GT,7.02,8.5,1.48,robot_arm_1,Robot arm,121.11
p5,Quality control,DT,8.5,11,2.5,quality_1,Quality inspector,137.50
p6,Packaging,CGT,11,12.57,1.57,machine_a_1;robot_arm_1,Machine A;Robot arm,221.76
p7,Move to storage,DT,12.57,14.07,1.5,forklift_operator_1,Forklift operator,75.00
